artist,title,website,date,
Ken Feingold b. 1952,JCJ-Junkman,http://www.kenfeingold.com/jcj1.html,1995,,
Ken Feingold b. 1952,Porncounter,http://www.kenfeingold.com/cgi-bin/pcounter.cgi,1996,,
Ken Feingold b. 1952,REKD,http://www.kenfeingold.com/cgi-bin/rekd.cgi,1996,,
Ken Feingold b. 1952,Seance Box No. 1,http://www.kenfeingold.com/index.html#seance,1998,,
Ken Feingold b. 1952,Self Portrait as the Center of the Universe,http://www.kenfeingold.com/feingold/index.html,2001,,
Ken Feingold b. 1952,where i can see my house from here so we are,http://www.kenfeingold.com/index.html#where_i,1993,,
Carol Flax b. 1952,Crossing a Divide,http://www.arts.arizona.edu/boundaries,2001,,
Carol Flax b. 1952,Ex/Changing Families,http://www.cmp.ucr.edu/ex/changing/,1998,,
Carol Flax b. 1952,Gravity,http://www.arts.arizona.edu/flax/gravity/,2000,,
Carol Flax b. 1952,Journeys:1900/2000,http://www.arts.arizona.edu/flax/journeys,2001,,
Carol Flax b. 1952,M/Other Stories,http://www.arts.arizona.edu/flax/,1998,,
Carol Flax b. 1952,Sometimes,http://www.mintmuseum.org/cflax/,1999,,
Ben Fry,Anemone,http://acg.media.mit.edu/people/fry/anemone/applet/,2001,,
Joy Garnett,Bomb Project (The),http://www.thebombproject.org,2000,,
GashGirl b. 1984,dollspace,http://www.thing.net/~dollyoko,1997,,
GashGirl b. 1984,liquid_nation,http://www.thing.net/~dollyoko/ID/LN/TEXT/LN01.HTM,1999,,
GashGirl b. 1984,los dias u las noches de los muertos,http://www.thing.net/~dollyoko/LOSDIAS/INDEX.HTML,1998,,
Glorious Ninth,Who_Owns_Them_Controls,http://www.gloriousninth.com/who_owns_them_controls.html,2001,,
Ken Goldberg b. 1961,Dislocation of Intimacy,http://www.dislocation.net,1998,,
Ken Goldberg b. 1961,Mori,http://memento.ieor.berkeley.edu,1999,,
Ken Goldberg b. 1961,Ouija 2000,http://ouija.berkeley.edu,2000,,
Ken Goldberg b. 1961,Telegarden,http://telegarden.aec.at,1995,,
Auriea Harvey; Michael Samyn,eden.garden 1.0,http://eden.garden1.0.projects.sfmoma.org/,2001,,
Auriea Harvey; Michael Samyn,Skinonskinonskin,http://entropy8zuper.org/skinonskinonskin/,1999,,
Jenny Holzer,Please Change Beliefs,http://adaweb.walkerart.org/project/holzer/cgi/pcb.cgi,1996,,
G.H. Hovagimyan b. 1950,A soaPOPera For Laptops,http://www.thing.net/~soapop,1998,,
G.H. Hovagimyan b. 1950,Art Direct/ Sex; Violence & Politics,http://www.thing.net/~gh/artdirect,1996,,
G.H. Hovagimyan b. 1950; Adrianne Wortzel,Art Dirt,http://www.walkerart.org/gallery9/dasc/artdirt,1996,,
G.H. Hovagimyan b. 1950,Collider,http://bbs.thing.net,1998,,
G.H. Hovagimyan b. 1950;Yael Kanarek b. 1967; MTAA - m.river & t.whid,EntertainMe (from the Warhol Hijack),http://artnetweb.com/gh/hijack.html,2001,,
G.H. Hovagimyan b. 1950,Faux Conceptual Art,http://rhizhome.org/artbase/2204/fauxcon/home.html,1995,,
I/O/D,Web Stalker,http://www.backspace.org/iod/,1997,,
Jon Ippolito b. 1962;Keith Frank b. 1965;Janet Cohen b. 1960,Agree to Disagree,http://www.three.org/agreetodisagree,1996,,
Jon Ippolito b. 1962;Keith Frank b. 1965;Joline Blais b. 1960,Fair e-Tales,http://www.three.org/fairetales/,2000,,
Jon Ippolito b. 1962;Keith Frank b. 1965;Janet Cohen b. 1960,Sentences on Adversarial Collaboration,http://www.three.org/sentencesonadversarialcollaboration,1994,,
Jon Ippolito b. 1962;Keith Frank b. 1965;Janet Cohen b. 1960,Variorum of Past Projects,http://www.three.org/variorumofpastprojects,1997,,
Jessica Irish b. 1969,: inflat : o : scape :,http://www.inflatoscape.com,2001,,
diana jeon,being invisible,http://www.flex.com/~dianaj,2000,,
Lisa Jevbratt,1:1,http://www.c5corp.com/1to1/,1999,,
cygin66 jimpunk b. 1966,jimpunk,http://www.jimpunk.com,2000,,
jodi,jodi.org,http://jodi.org,1996,,
Brian Judy b. 1960,Maracatu,http://www.boogaholler.com/webart/rtventures/maracatu.htm,2000,,
Brian Judy b. 1960,The Grid,http://www.boogaholler.com/webart/index.html,2000,,
Eduardo Kac b. 1962,Ornitorrinco,http://www.ekac.org/ornitorrincoM.html,1989,,
Eduardo Kac b. 1962,Rara Avis,http://www.ekac.org/raraavis.html,1996,,
Eduardo Kac b. 1962,RC Robot,http://www.ekac.org/robot.big.html,1986,,
Eduardo Kac b. 1962,Time Capsule,http://www.ekac.org/timec.html,1997,,
Yael Kanarek b. 1967,World of Awe,http://www.worldofawe.net,1995,,
Raivo Kelomees b. 1960,Cybertower,http://old.artun.ee/cybertower/,1997,,
Raivo Kelomees b. 1960,SelfSearch,http://www.online.ee/~offline/selfsearch/,2000,,
John Klima,ecosystm,http://www.cityarts.com/lmno/ecosystm.html,2000,,
John Klima,glasbead,http://www.glasbead.com,1999,,
Marc Lafia b. 1955,AmbientMachines,http://www.ambientmachines.com,2000,,
Marc Lafia b. 1955,ArtandCulture,http://www.ArtandCulture.com,1999,,
Marc Lafia b. 1955,HyperHyper,http://www.artandculture.com,1997,,
Marc Lafia b. 1955,The Memex Engine or Laura Croft stripped bare by her Bachelors,http://www.memexengine.com,1998,,
Marc Lafia b. 1955,World Clock,http://www.artandculture.com,1996,,
Tina LaPorta b. 1967,Distance,http://www.turbulence.org/Works/Distance/index.html,1999,,
Golan Levin,Golan's Wee Homepage,http://acg.media.mit.edu/people/golan/,1998,,
Olia Lialina,My Boyfriend Came Back From The War,http://www.teleportacia.org/war/,1996,,
Olia Lialina,Will-N-Testament,http://will.teleportacia.org/,1999,,
Rafael Lozano-Hemmer,Vectorial Elevation;Relational Architecture 4,http://www.alzado.net,1999,,
Garrett Lynch b. 1977,asquare.org,http://www.asquare.org/,2000,,
Garrett Lynch b. 1977,"For those who fear intimacy / for those who fear loneliness""",http://www.intimacyandloneliness.f2s.com,2001,,
John Maeda b. 1966,Concentrics,http://www.maedastudio.com/concentrics/index.html,1995,,
John Maeda b. 1966,One Line Project,http://www.dnp.co.jp/gallery/ggg/one-line/index_e.html,1998,,
John Maeda b. 1966,Shiseido Java calendars,http://www.maedastudio.com/javacals/index.html,1997,,
Judy Malloy b. 1942,The Roar of Destiny Emanated from the Refrigerator. I Got up to Get a Beer.,http://www.well.com/user/jmalloy/control.html,1999,,
chiu kwong man b. 1966,sex lies and fairy tales,http://www.sexliesandfairytales.net,2001,,
mashica,mosca,http://mosca.mashica.com/,1999,,
mashica,nocamping,http://nocamping.mashica.com/,2000,,
mashica,nowash,http://nowash.mashica.com/,1999,,
mashica,nowork,http://nowork.mashica.com/,1998,,
mashica,The Cassandra Fax Project,http://www.mashica.com/CFP/,2000,,
mashica,VERBUM DEI,http://www.mashica.com/VeRBUMDEI/,2001,,
Kevin McCoy; Jennifer McCoy,Airworld,http://www.airworld.net/,2000,,
Steve Miller b. 1951,Dreaming Brain,http://www.dreamingbrain.com,1999,,
Roman Minaev b. 1970,Trashconnection,http://www.trashconnection.com,2000,,
Judd Morrissey,The Jew's Daughter,http://www.thejewsdaughter.com/,2000,,
MTAA - m.river & t.whid,MT Enterprises WorldWide,http://www.mteww.com,1998,,
Robbin Murphy,Project Tumbleweed,http://www.artnetweb.com/iola/tumbleweed/index.html,1997,,
Prema Murthy,Bindi Girl,http://www.thing.net/~bindigrl/,1999,,
Mark Napier b. 1961,cBots,http://www.potatoland.org/cbots/,2000,,
Mark Napier b. 1961,Digital Landfill,http://potatoland.org/landfill,1998,,
Mark Napier b. 1961,Feed,http://feed.projects.sfmoma.org,2001,,
Mark Napier b. 1961,p-Soup,http://potatoland.org/p-soup,2000,,
Mark Napier b. 1961,Shredder,http://potatoland.org/shredder,1998,,
OllO b. 1959,OllO,http://www.ollografik.net,2000,,
Scott Paterson b. 1969,*-scope,http://www.sgp-7.net/proj/scope/index2.html,1999,,
Scott Paterson b. 1969,Prototype for Static Vehicle,http://www.sgp-7.net/proj/is01/,2001,,
Cary Peppermint b. 1970,A Contemporary American Work of Art In Progress,http://www.restlessculture.net/americanart,2000,,
Plumbdesign,Visual Thesaurus,http://www.plumbdesign.com/thesaurus/,1998,,
Melinda Rackham b. 1959,a.land,http://www.subtle.net/aland,1998,,
Melinda Rackham b. 1959,carrier,http://www.subtle.net/carrier,1999,,
Melinda Rackham b. 1959,empyrean,http://www.subtle.net/empyrean,2000,,
Melinda Rackham b. 1959,line,http://www.subtle.net/line,1997,,
Melinda Rackham b. 1959,tunnel,http://www.subtle.net/tunnel,1996,,
Sonya Rapoport,ARBOR ERECTA: A Botanical Concept of Maculinity,http://users.lmi.net/~sonyarap/arborerecta/arbor.html,1998,,
Sonya Rapoport,BRUTAL MYTHS,http://www.lanminds.com/local/sr/brutal/index.html,1996,,
Sonya Rapoport,MAKE ME A JEWISH MAN: An Alternative Masculinity,http://users.lmi.net/sonyarap/mmajewishman,1999,,
Sonya Rapoport,MAKE ME A MAN,http://users.lanminds.com/~sonyarap/,1997,,
Sonya Rapoport,Shoe-Field,http://www.artswire.org/~jmalloy/richmond/objects9.html,1982,,
Sonya Rapoport,SMELL YOUR DESTINY,http://www.lanminds.com/local/sr/srsmell.html,1995,,
red asphalt nomad,Surrogate Signal,http://www.clustersite.org/ss.html,1996,,
Laszlo Revesz,See per you,http://www.cperu.hu,2000,,
Wayne Riggs,Abstractions on the internet,http://web.tiscali.it/wayneriggs,2001,,
Nino Rodriguez b. 1968,Face Value,http://www.pobox.com/~nino/,1996,,
Carlos Rosas,coded works,http://www.overtheedge.net/~rosas,2001,,
Carlos Rosas,transitional,http://www.overtheedge.net,2000,,
RTMark,RTMark,http://www.rtmark.com,1997,,
mike salmond b. 1967,Hoplessness of Infinity,http://gummo.admin.usf.edu/grad/infinite,2000,,
mike salmond b. 1967,Voxels,http://gummo.admin.usf.edu/grad/soundscape/,2000,,
