artist,title,date,website
Annie AbrahamsAnnie Abrahams,being human,1998,http://www.bram.org/https://www.bram.org/index2.htmhttps://www.bram.org/index3.htm
Victor LiuVictor Liu,The Slow Arrow of Beauty,1998,http://www.n-gon.com/SlowArrow/
Shu Lea CheangShu Lea Cheang,Brandon,1998,http://brandon.guggenheim.org/
Maciej WisniewskiMaciej Wisniewski,Scroll Bar,1998,http://archive.rhizome.org/artbase/52952
Nobody HereNobody Here,Nobody Here,1998,http://www.NobodyHere.com/justme
Miklos LegradyMiklos Legrady,Alphabet Soup,1998,http://www.c3.hu/~itmiklos/site/0.html
Michael SmithJoshua WhiteMichael SmithJoshua White,Open House,1998,http://archive.rhizome.org/Open_House/
Eryk SalvaggioEryk Salvaggio,Absolut Net.Art,1998,http://archive.rhizome.org/artbase/1690/index.html
Thomson & CraigheadThomson & Craighead,CNN Interactive just got more interactive,1998,http://cnnextra.net/
Maxine GregsonRory HamiltonMaxine GregsonRory Hamilton,Largest Unused Block,1998,http://www.heise.de/tp/kunst/l_u_block/
MouchetteMouchette,Flesh&Blood,1998,http://www.mouchette.org/flesh/tong.html
Erik LoyerErik Loyer,The Lair of the Marrow Monkey,1998,http://www.marrowmonkey.com/lair
01001011101011010100101110101101,Darko Maver,1998,http://0100101110101101.org/home/darko_maver
ON AIRON AIR,nonsense,1998,http://elviajero.org/nonsense
shirin Kouladjieshirin Kouladjie,photomontage,1998,http://www.photomontage.com
Thomson & CraigheadThomson & Craighead,Weightless,1998,http://www.thomson-craighead.net/w/
Heath BuntingHeath Bunting,_readme,1998,http://www.irational.org/_readme.html
Kerstin WeibergKerstin Weiberg,off<area>,1998,
Richard RinehartRichard Rinehart,Periodic Table of Experience,1999,http://www.coyoteyip.com/project_archive/periodic/http://www.coyoteyip.com/rinehart/periodic_table_of_experience.html
Joelle BittonJoelle Bitton,Palpitations,1999,http://www.superficiel.org/temp/palpitations
Colin GoldbergColin Goldberg,Dreaming Brain,1999,http://www.dreamingbrain.com
Reynald DrouhinReynald Drouhin,Métaorigines,1999,http://www.incident.net/works/metaorigine/
Igor ŠtromajerIgor Štromajer,Oppera Teorettikka Internettikka,1999,http://www2.arnes.si/~ljintima2/oppera
Simon BiggsSimon Biggs,Echelon,1999,http://www.littlepig.org.uk/echelon/
Mark AmerikaMark Amerika,PHON:E:ME,1999,http://phoneme.walkerart.org
Myron TurnerMyron Turner,Animal Locomotion,1999,http://www.umanitoba.ca/mbvan/proj/muybr/http://www.umanitoba.ca/mbvan/proj/muybr/http://www.room535.net/muybr/
Golan LevinGolan Levin,Floccus,1999,http://www.flong.com/storage/experience/floccus/
Entropy8Zuper!Entropy8Zuper!,Whispering Windows,1999,
Annie AbrahamsAnnie Abrahams,I only have my name,1999,http://www.bram.org/ident/irc.htm
Marni KotakMarni Kotak,Livesystems.net,1999,http://www.livesystems.net/
Joanna BerzowskaJoanna Berzowska,Computational Expressionism,1999,
Maria LavmanMaria Lavman,3boxes,1999,http://hjem.get2net.dk/3boxes/
Eddo SternEddo Stern,SHEIK ATTACK,1999,http://www.eddostern.com/sheik_attack.html
MouchetteMouchette,Kill that cat,1999,
Bruce BarberBruce Barber,novelsquat and related work,1999,http://novelsquat.com
Natalie BookchinNatalie Bookchin,The Intruder,1999,http://www.calarts.edu/~bookchin/intruder/
Margaret PenneyMargaret Penney,dream7,1999,http://www.dream7.com/
[dNASAb][dNASAb],WNVIRUS.COM,1999,http://www.wnvirus.com/
Scott PatersonScott Paterson,Prototype for Static Vehicle,1999,http://www.sgp-7.net/proj/archinect/
shirin Kouladjieshirin Kouladjie,n3xt,1999,http://www.n3xt.com
Spot DravesSpot Draves,Electric Sheep,1999,http://electricsheep.org
Melinda RackhamMelinda Rackham,carrier,1999,http://www.subtle.net/carrier
Entropy8Zuper!Entropy8Zuper!,The Godlove Museum,2023,
Markus Kleine-VehnMarkus Kleine-Vehn,can-d.org,22 September 1999,http://www.can-d.org
MTAAMTAA,Website Unseen,1999,http://mteww.com/websiteunseen/
Annie AbrahamsAnnie Abrahams,rassur,1999,http://www.bram.org/confort/rassur.htm
Olia LialinaOlia Lialina,Will-N-Testament,1999,http://will.teleportacia.org
LiaLia,Re-move,1999,https://www.re-move.org/index.php
Entropy8Zuper!Entropy8Zuper!,Skinonskinonskin,1999,
Mark NapierMark Napier,Pulse,1999,
restaterestate,restate/detonators,1999,http://detonators.restate.org
Doron GolanDoron Golan,m6 map,1999,http://the9th.com/00/artbase/m6map/
Ursula EndlicherUrsula Endlicher,Web Performer,1999,
lucas kuzmalucas kuzma,simple mouse position predictor with centipede parts,1999,http://archive.rhizome.org/splash/machinatus/
Rui Filipe AntunesRui Filipe Antunes,xTNZ,1999,http://www.pikiproductions.com/rui/xtnz
matt Jonesmatt Jones,r|o|o|m|,1999,
amanda beecher hickmanamanda beecher hickman,"Often, You Don't Listen",2000,
domiziana giordanodomiziana giordano,Experimental Life Project version 1.0,2000,
michiel Knavenmichiel Knaven,Conversations with Fransesca,2000,http://www.michaelmedia.org/conversations
Lars WikstrLars Wikstr,Four Flashes of Life,2000,http://lakris.nu/lgw/Flashes/menu.swf
Lowell RobinsonLowell Robinson,Hippie Brain Explosion,2000,http://www.digitalthreat.com/version2/hbx.html
Ivan PeledovIvan Peledov,Moronic Anthems,2000,http://pages.prodigy.net/lokis/oldindex.html
Marketa BankovaMarketa Bankova,New York City Map,2000,http://www.nycmap.com
Doron GolanDoron Golan,7sky,2000,http://the9th.com/00/artbase/sky/
Entropy8Zuper!Entropy8Zuper!,Machine,2000,http://rhizome.org/splash/entropy8zuper/
Jin-Yo MokJin-Yo Mok,Music Box,2000,http://www.geneo.net/music_box/musicbox.html
Grégory ChatonskyGrégory Chatonsky,Revenances,2000,http://www.c3.hu/~revenances/
Amir SoltaniAmir Soltani,CodeCity: incrementing=true;,2000,http://archive.rhizome.org/artbase/2193/codecity_rhizome/index.htm
joan escofetjoan escofet,1999,2000,http://straddle3.net/1999
Annette WeintraubAnnette Weintraub,Crossroads,2000,http://www.turbulence.org/Works/crossroads/index.html
Daniel GreenDaniel Green,Mikon Hall of Worlds,1 September 2000,http://www.ifam.net/mikon_web_album_08_03/mikon_page_1.htm
Friederike PaetzoldFriederike Paetzold,I-Section,2000,http://www.turbulence.org/Works/i-section/index.html
Tactical MagicTactical Magic,Cricket Activated Defense System,2000,http://tacticalmagic.org/CTM/project%20pages/CADS.htm
Gustavo RomanoGustavo Romano,Hyperbody,2000,http://www.hyperbody.org
Kurt BaumannKurt Baumann,ARTificial ART,2000,http://www.artificial-art.com
Paul BrandDag Hensten PettersenPaul BrandDag Hensten Pettersen,DECONSTRUCTION - RECONSTRUCTION,2000,http://kunst.no/brand
Miklos LegradyMiklos Legrady,Krematorium,2000,http://archive.rhizome.org/artbase/2224/krematorium/krematorium.html
Jeremy BushnellJeremy Bushnell,Imaginary Year,2000,http://www.imaginaryyear.com/intro.html
Marcello MazzellaMarcello Mazzella,Keep Walking,2000,http://archive.rhizome.org/artbase/2176/keepwalking.swf
JODIJODI,OSS,2000,http://oss.jodi.org/
Tamara Faith BergerTamara Faith Berger,Nursex,2000,http://drivedrive.com/nursex/
Golan LevinGolan Levin,Audiovisual Environment Suite,2000,http://acg.media.mit.edu/people/golan/aves/
